YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,T2MDEW,T2M_MAX,T2M_MIN,TS,WS10M,WD10M,WS50M,WD50M,PS,PRECTOTCORR,RH2M
1983,2,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.36,3.05,20.16,3.33,9.58,3.58,261.94,5.41,261.69,97.5,0.01,65.94
1983,2,2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.87,2.34,19.11,4.94,10.21,5.34,316.62,7.63,316.62,97.36,0.0,58.06
1983,2,3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.3,-0.08,13.33,2.15,6.32,5.76,190.5,8.2,190.19,98.03,0.01,67.62
1983,2,4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.18,-0.55,14.26,-0.67,6.31,3.52,277.81,5.91,279.5,97.9,0.0,66.94
1983,2,5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.8,0.86,12.94,2.7,6.59,3.68,185.06,5.95,184.5,97.61,0.03,69.12
1983,2,6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.4,-1.37,13.73,0.8,6.25,6.62,239.25,9.63,239.69,96.47,0.0,61.0
1983,2,7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.77,-0.8,16.71,4.19,8.57,4.26,264.44,6.58,264.56,95.65,0.0,52.69
1983,2,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.61,0.22,16.33,3.26,7.98,4.22,224.12,6.16,224.0,95.87,0.01,57.62
1983,2,9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9.49,0.58,18.16,2.9,8.98,3.29,207.38,5.09,207.75,95.82,0.0,56.69
1983,2,10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.37,-0.2,17.65,3.8,9.47,5.43,221.44,7.58,221.62,95.31,0.0,50.12
1983,2,11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.41,-3.58,11.19,0.36,5.3,7.67,245.38,10.7,246.12,95.74,0.02,56.69
1983,2,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.69,-4.06,15.62,-1.79,4.73,4.26,191.81,6.1,192.0,96.16,0.0,53.31
1983,2,13,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.49,-1.63,17.87,1.58,7.43,4.62,231.31,7.07,231.62,96.06,0.01,50.69
1983,2,14,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9.58,1.23,17.18,2.18,9.52,4.66,221.69,7.21,223.31,96.26,1.16,58.31
1983,2,15,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9.29,-0.22,17.8,1.67,9.1,4.64,275.0,7.58,275.44,96.5,0.0,58.19
1983,2,16,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9.64,-0.28,18.63,3.05,9.24,4.45,248.31,6.79,248.56,96.87,0.04,55.56
1983,2,17,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,7.54,0.25,16.09,1.55,8.26,2.73,224.19,4.59,223.44,97.24,0.03,66.62
1983,2,18,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.85,2.94,11.66,2.53,7.18,2.66,116.38,3.71,117.62,97.37,3.57,77.5
1983,2,19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.32,1.49,11.05,2.03,6.83,5.32,39.75,7.09,40.06,97.52,2.8,74.0
